WW9uZXggVkNPUkUgMTAwICgyODAp,100,10.5,67,27.0,25
WW9uZXggQVNUUkVMIDEwMA==,100,10.4,68,27.0,27
WW9uZXggQVNUUkVMIDEwNQ==,105,9.8,68,27.0,28
WW9uZXggQVNUUkVMIDExNQ==,115,9.7,68,26.75,28
WW9uZXggQVNUUkVMIDExNQ==,115,9.8,66,27.25,26
VGVjbmlmaWJyZSBURmlnaHQgMzA1IFJT,98,11.4,67,27.0,23
VGVjbmlmaWJyZSBURmlnaHQgMzE1IFJT,98,11.7,69,27.0,23
VGVjbmlmaWJyZSBURmlnaHQgMzAwIFJT,98,11.2,66,27.0,23
VGVjbmlmaWJyZSBURmlnaHQgMjk1IFJT,100,11.0,70,27.0,23
VGVjbmlmaWJyZSBURjQwIDMwNQ==,98,11.3,64,27.0,22
VGVjbmlmaWJyZSBURjQwIDMxNQ==,98,11.8,64,27.0,22
VGVjbmlmaWJyZSBURmxhc2ggMzAwIENFUw==,100,11.3,72,27.0,26
VGVjbmlmaWJyZSBURmxhc2ggMjg1IENFUw==,100,10.7,72,27.0,26
VGVjbmlmaWJyZSBURmxhc2ggMjcwIENFUw==,100,10.2,72,27.0,26
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgTVA=,100,11.2,66,27.0,26
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgVG91cg==,98,11.4,65,27.0,23
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgTGl0ZQ==,105,9.8,67,27.0,26
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgUFdS,115,8.6,66,27.7,29
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgUw==,105,10.2,66,27.0,26
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIFBybw==,100,11.6,62,27.0,23
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIE1Q,100,11.2,64,27.0,23
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIE1QIExpdGU=,100,10.3,64,27.0,23
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIFM=,100,10.6,69,27.0,25
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIExpdGU=,100,9.8,68,27.0,25
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIFBXUg==,115,9.7,69,27.4,26
SGVhZCBHcmFwaGVuZSAzNjAgU3BlZWQgUHJv,100,11.5,62,27.0,23
SGVhZCBHcmFwaGVuZSAzNjAgU3BlZWQgTVA=,100,11.2,63,27.0,23
SGVhZCBHcmFwaGVuZSBYVCBTcGVlZCBNUA==,100,11.1,67,27.0,22
SGVhZCBHcmFwaGVuZSBYVCBTcGVlZCBT,100,10.7,68,27.0,22
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgVG91cg==,100,11.4,61,27.0,22
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgUHJv,100,11.7,62,27.0,20
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgTVA=,100,11.0,62,27.0,22
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgUw==,104,10.6,61,27.0,24
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgTVAgTGl0ZQ==,100,10.4,62,27.0,22
SGVhZCBHcmFwaGVuZSAzNjArIEdyYXZpdHkgTGl0ZQ==,104,10.1,60,27.0,24
SGVhZCBHcmFwaGVuZSAzNjAgUmFkaWNhbCBQcm8=,98,11.5,68,27.0,23
SGVhZCBHcmFwaGVuZSAzNjAgUmFkaWNhbCBNUA==,98,11.0,68,27.0,23
SGVhZCBHcmFwaGVuZSAzNjAgUmFkaWNhbCBT,102,10.4,61,27.0,25
SGVhZCBHcmFwaGVuZSAzNjAgUmFkaWNhbCBQV1I=,110,9.8,69,27.4,25
SGVhZCBHcmFwaGVuZSBYVCBSYWRpY2FsIE1Q,98,11.0,63,27.0,23
SGVhZCBHcmFwaGVuZSBYVCBSYWRpY2FsIFM=,102,10.4,60,27.0,25
SGVhZCBNaWNyb0dFTCBSYWRpY2FsIE1pZHBsdXM=,98,11.0,62,27.0,22
SGVhZCBNaWNyb0dFTCBSYWRpY2FsIE92ZXJzaXpl,107,11.1,56,27.0,0
SGVhZCBHcmFwaGVuZSAzNjArIFByZXN0aWdlIE1pZA==,93,11.8,65,27.0,20
SGVhZCBHcmFwaGVuZSAzNjArIFByZXN0aWdlIE1pZHBsdXM=,98,11.9,61,27.0,20
SGVhZCBHcmFwaGVuZSAzNjArIFByZXN0aWdlIFBybw==,95,11.8,65,27.0,22
SGVhZCBHcmFwaGVuZSAzNjArIFByZXN0aWdlIFRvdXI=,99,11.4,65,27.0,21
SGVhZCBHcmFwaGVuZSAzNjArIEluc3RpbmN0IE1Q,100,11.2,64,27.0,26
SGVhZCBHcmFwaGVuZSAzNjArIEluc3RpbmN0IExpdGU=,107,10.0,63,27.2,26
SGVhZCBHcmFwaGVuZSAzNjArIEluc3RpbmN0IFBXUg==,115,8.6,70,27.7,29
SGVhZCBHcmFwaGVuZSAzNjAgSW5zdGluY3QgTVA=,100,11.2,65,27.0,26
SGVhZCBHcmFwaGVuZSAzNjAgSW5zdGluY3QgUFdS,115,8.7,70,27.7,29
